path,width,height,orientation,brightness,saturation_proxy,clip_low_pct,clip_high_pct,r_mean,g_mean,b_mean,size_bytes,fast_sha1
/Volumes/未命名/大模型/原图1/DAP07564.JPG,2000,1333,landscape,89.18,8.3,0.2,0.156,82.14,84.56,100.83,1184898,213842547b8e725646e26b12de5832f366eab4af
/Volumes/未命名/大模型/原图1/DAP00218 3.JPG,2000,1333,landscape,84.05,28.99,1.595,0.0,124.64,68.83,58.69,834989,049c83b06eb125b6c4a300119127af16b09bff95
/Volumes/未命名/大模型/原图1/DAP02623.JPG,2000,1333,landscape,46.18,2.17,1.751,0.416,48.15,43.17,47.23,577040,704ab6e0223131fae88c473a70274c263b64c29c
/Volumes/未命名/大模型/原图1/DAP00243 3.JPG,2000,1333,landscape,78.7,28.55,2.574,0.0,118.75,63.08,54.26,802648,76fa61dc29c38b3c7cbb2b5e951fb09ca5525f42
/Volumes/未命名/大模型/原图1/DAP09657 3.JPG,1333,2000,portrait,56.54,3.26,0.257,1.174,59.55,58.07,52.01,1318454,8a6da07e49dfedab7cf08b834a1c5dc989a9c927
/Volumes/未命名/大模型/原图1/DAP05520.JPG,2000,1333,landscape,78.14,2.38,3.78,1.673,76.2,76.73,81.49,937659,c9a4cbacaae8aa84955416e20cd7fffe32b903c9
/Volumes/未命名/大模型/原图1/DSC05273.JPG,2000,1333,landscape,78.85,0.19,1.002,0.0,78.6,79.02,78.95,599783,e8905e2a0b4b410f593ec7fee48724fb32014000
/Volumes/未命名/大模型/原图1/DAP00677 3.JPG,1333,2000,portrait,115.87,16.86,0.414,0.0,139.57,101.8,106.23,704204,52e863bbe286e74fcddf68b0ff9203b23fb48c5d
/Volumes/未命名/大模型/原图1/DSC05874.JPG,4000,2666,landscape,45.67,7.5,0.742,0.0,55.9,38.14,42.97,2365704,b4a43309ef716853d4ad2643e3c4c15c33c088c2
/Volumes/未命名/大模型/原图1/DAP04567.JPG,2000,1333,landscape,116.61,16.18,0.064,0.085,139.36,103.09,107.38,797252,fda15ed64fcfa30a3de6d684c13dce64b7116586
/Volumes/未命名/大模型/原图1/DAP08417.JPG,2000,1333,landscape,122.73,36.14,0.032,0.0,173.54,102.1,92.54,938436,5fd5ae55871432435b51c8a7e98b26233bb47e97
/Volumes/未命名/大模型/原图1/DSC03825(2).JPG,2000,1333,landscape,168.11,15.16,0.827,0.577,147.21,174.41,182.7,2635198,266c344e1d389a80e2d90b7aaa9c79b3afac62d8
/Volumes/未命名/大模型/原图1/DAP00657 3.JPG,2000,1333,landscape,114.62,18.11,0.287,0.119,140.13,103.79,99.93,832059,adca0194ddd6ae9432f09948f0194d9d291a6d16
/Volumes/未命名/大模型/原图1/DAP00877 3.JPG,2000,1333,landscape,108.68,44.16,0.126,2.619,170.94,73.34,81.77,1239518,e846734fa87a0c84430ddcdc6a2a77652edec964
/Volumes/未命名/大模型/原图1/AAA01280.JPG,4000,2666,landscape,129.54,8.43,0.0,0.002,134.37,117.68,136.56,1724851,b5d4f78d65318300c77b41e6693e7c220b07f846
/Volumes/未命名/大模型/原图1/DAP07707.JPG,2000,1333,landscape,63.21,5.27,1.397,3.844,66.41,55.77,67.43,842640,195044ff24561434e1f8c772f1c48e7a5023e312
/Volumes/未命名/大模型/原图1/DAP09485.JPG,2000,1333,landscape,108.83,27.08,0.28,0.044,146.77,94.37,85.35,1117521,fcf6c254a7b8299295a866c88542db39efae9c1d
/Volumes/未命名/大模型/原图1/AAA01508.JPG,2666,4000,portrait,150.11,9.22,0.002,0.136,152.44,137.84,160.06,2720880,28d1ac37b20511c0c17ddd85c389c6fc7b2970bd
/Volumes/未命名/大模型/原图1/DSC05088(1).JPG,2000,1333,landscape,94.37,0.53,0.092,0.023,94.65,94.84,93.63,722373,8ba0345f7fe7e4650987d4ec3cd0edbdb016d6d1
